threshold,query_count,positive_count,negative_count,hit_count,hit,recall,relevant_returned,returned,precision_micro,no_answer_false_positive_count,no_answer_false_positive_rate
0.0,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.05,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.1,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.15,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.2,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.25,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.3,30,25,5,24,0.96,0.649945054945055,59,90,0.6555555555555556,5,1.0
0.35,30,25,5,24,0.96,0.649945054945055,59,88,0.6704545454545454,5,1.0
0.4,30,25,5,24,0.96,0.649945054945055,59,87,0.6781609195402298,5,1.0
0.45,30,25,5,24,0.96,0.649945054945055,59,81,0.7283950617283951,3,0.6
0.5,30,25,5,24,0.96,0.649945054945055,59,79,0.7468354430379747,3,0.6
0.55,30,25,5,24,0.96,0.649945054945055,59,79,0.7468354430379747,3,0.6
0.6,30,25,5,24,0.96,0.649945054945055,59,75,0.7866666666666666,2,0.4
0.65,30,25,5,24,0.96,0.649945054945055,59,73,0.8082191780821918,1,0.2
0.7,30,25,5,24,0.96,0.649945054945055,59,72,0.8194444444444444,1,0.2
0.75,30,25,5,24,0.96,0.6369450549450549,57,70,0.8142857142857143,1,0.2
0.76,30,25,5,24,0.96,0.6369450549450549,57,69,0.8260869565217391,1,0.2
0.77,30,25,5,24,0.96,0.6369450549450549,57,69,0.8260869565217391,1,0.2
0.78,30,25,5,24,0.96,0.6369450549450549,57,69,0.8260869565217391,1,0.2
0.79,30,25,5,24,0.96,0.6319450549450549,56,68,0.8235294117647058,1,0.2
0.8,30,25,5,23,0.92,0.6136117216117216,54,65,0.8307692307692308,1,0.2
0.81,30,25,5,22,0.88,0.6002783882783883,53,63,0.8412698412698413,0,0.0
0.82,30,25,5,22,0.88,0.6002783882783883,53,63,0.8412698412698413,0,0.0
0.83,30,25,5,22,0.88,0.6002783882783883,53,63,0.8412698412698413,0,0.0
0.84,30,25,5,22,0.88,0.6002783882783883,53,63,0.8412698412698413,0,0.0
0.85,30,25,5,22,0.88,0.5936117216117216,52,61,0.8524590163934426,0,0.0
0.9,30,25,5,22,0.88,0.5555164835164835,48,55,0.8727272727272727,0,0.0
0.95,30,25,5,21,0.84,0.47284981684981686,42,45,0.9333333333333333,0,0.0
1.0,30,25,5,0,0.0,0.0,0,0,,0,0.0
